Vongnes;45.816667;5.716667;1350
Ambérieux-en-Dombes;46;4.9;1330
Arbigny;46.466667;4.966667;1190
Ars-sur-Formans;45.983333;4.816667;1480
Asnières-sur-Saône;46.383333;4.883333;1570
Bâgé-la-Ville;46.316667;4.95;1380
Bâgé-le-Châtel;46.3;4.933333;1380
Baneins;46.116667;4.9;1990
Beauregard;;;1480
Bey;46.216667;4.85;1290
Beynost;45.833333;5;1700
Birieux;45.95;5.033333;1330
Biziat;46.216667;4.933333;1290
Boissey;46.383333;5;1190
Bouligneux;46.016667;5;1330
Boz;46.4;4.9;1190
Chalamont;46;5.166667;1320
Chaleins;46.033333;4.8;1480
Chaneins;46.1;4.85;1990
Chanoz-Châtenay;46.183333;5.033333;1400
Châtenay;46.033333;5.2;1320
Châtillon-la-Palud;45.966667;5.25;1320
Châtillon-sur-Chalaronne;46.116667;4.966667;1400
Chavannes-sur-Reyssouze;46.433333;5;1190
Chaveyriat;46.183333;5.066667;1660
Chevroux;46.383333;4.95;1190
Civrieux;45.916667;4.883333;1390
Condeissiat;46.166667;5.083333;1400
Cormoranche-sur-Saône;46.233333;4.833333;1290
Crans;45.966667;5.216667;1320
Crottet;46.283333;4.9;1620
Cruzilles-lès-Mépillat;46.216667;4.883333;1290
Dommartin;46.341667;4.991667;1380
Dompierre-sur-Chalaronne;46.133333;4.9;1400
Fareins;46.016667;4.766667;1480
Feillens;46.333333;4.883333;1570
Francheleins;46.066667;4.8;1090
Frans;45.983333;4.783333;1480
Garnerans;46.2;4.833333;1140
Genouilleux;46.116667;4.783333;1090
Gorrevod;46.416667;4.95;1190
Grièges;46.25;4.85;1290
Guéreins;46.1;4.783333;1090
Illiat;46.183333;4.883333;1140
Jassans-Riottier;45.983333;4.75;1480
L'Abergement-Clémenciat;46.15;4.916667;1400
La Chapelle-du-Châtelard;46.066667;5.033333;1240
Laiz;46.25;4.883333;1290
Lapeyrouse;45.983333;4.966667;1330
Le Plantay;46.016667;5.083333;1330
Lurcy;46.066667;4.766667;1090
Manziat;46.35;4.9;1570
Marlieux;46.066667;5.066667;1240
Massieux;45.916667;4.833333;1600
Messimy-sur-Saône;;;1480
Mézériat;46.233333;5.033333;1660
Mionnay;45.9;4.933333;1390
Miribel;;;1700
Misérieux;45.983333;4.816667;1600
Mogneneins;46.133333;4.816667;1140
Montceaux;46.1;4.8;1090
Monthieux;45.95;4.933333;1390
Montmerle-sur-Saône;46.083333;4.766667;1090
Neuville-les-Dames;46.166667;5;1400
Neyron;;;1700
Ozan;46.383333;4.916667;1190
Parcieux;45.916667;4.816667;1600
Perrex;46.233333;4.983333;1540
Peyzieux-sur-Saône;46.116667;4.816667;1140
Pont-de-Vaux;46.433333;4.933333;1190
Pont-de-Veyle;46.266667;4.883333;1290
Rancé;45.966667;4.866667;1390
Relevant;46.083333;4.95;1990
Replonges;46.3;4.883333;1620
Reyrieux;45.933333;4.816667;1600
Reyssouze;46.433333;4.916667;1190
Romans;46.116667;5.033333;1400
Saint-André-de-Bâgé;46.3;4.916667;1380
Saint-André-de-Corcy;45.916667;4.95;1390
Saint-André-d'Huiriat;46.216667;4.916667;1290
Saint-André-le-Bouchoux;46.116667;5.083333;1240
Saint-Bénigne;46.433333;4.966667;1190
Saint-Bernard;;;1600
Saint-Cyr-sur-Menthon;46.266667;4.983333;1380
Saint-Didier-de-Formans;45.95;4.783333;1600
Saint-Didier-sur-Chalaronne;46.166667;4.816667;1140
Sainte-Euphémie;45.966667;4.783333;1600
Sainte-Olive;46.016667;4.933333;1330
Saint-Etienne-sur-Chalaronne;46.15;4.866667;1140
Saint-Etienne-sur-Reyssouze;46.4;5;1190
Saint-Genis-sur-Menthon;46.283333;5.016667;1380
Saint-Georges-sur-Renon;46.1;5.033333;1400
Saint-Germain-sur-Renon;46.083333;5.05;1240
Saint-Jean-de-Thurigneux;45.95;4.883333;1390
Saint-Jean-sur-Veyle;46.25;4.916667;1290
Saint-Julien-sur-Veyle;46.2;4.95;1540
Saint-Laurent-sur-Saône;46.3;4.833333;1620
Saint-Marcel;;;1390
Saint-Maurice-de-Beynost;45.833333;4.966667;1700
Saint-Nizier-le-Désert;46.05;5.15;1320
Saint-Paul-de-Varax;46.1;5.133333;1240
Saint-Trivier-sur-Moignans;46.066667;4.9;1990
Sandrans;46.066667;4.983333;1400
Savigneux;46;4.85;1480
Sermoyer;46.5;4.983333;1190
Sulignat;46.166667;4.966667;1400
Thil;45.816667;5.016667;1120
Thoissey;46.166667;4.8;1140
Toussieux;45.966667;4.833333;1600
Tramoyes;45.866667;4.966667;1390
Trévoux;45.933333;4.766667;1600
Valeins;46.116667;4.866667;1140
Versailleux;45.983333;5.1;1330
Vésines;46.35;4.866667;1570
Villars-les-Dombes;46;5.016667;1330
Villeneuve;;;1480
Villette-sur-Ain;;;1320
Vonnas;46.216667;5;1540
Achery;49.683333;3.383333;2800
Aguilcourt;49.4;3.966667;2190
Aizelles;49.483333;3.816667;2820
Amifontaine;49.483333;3.916667;2190
Andelain;49.633333;3.366667;2800
Anguilcourt-le-Sart;49.683333;3.433333;2800
Anizy-le-Château;49.5;3.45;2320
Archon;49.741667;4.116667;2360
Arrancy;49.483333;3.75;2860
Assis-sur-Serre;49.683333;3.566667;2270
Athies-sous-Laon;49.566667;3.683333;2840
Aubigny-en-Laonnois;49.5;3.8;2820
Aulnois-sous-Laon;49.616667;3.6;2000
Barenton-Bugny;49.633333;3.65;2000
Barenton-Cel;49.65;3.633333;2000
Barenton-sur-Serre;49.666667;3.683333;2270
Bassoles-Aulers;49.533333;3.383333;2380
Beaurieux;49.4;3.733333;2160
Berlise;49.666667;4.116667;2340
Berrieux;49.483333;3.85;2820
Berry-au-Bac;49.4;3.9;2190
Bertaucourt-Epourdon;49.616667;3.383333;2800
Bertricourt;49.383333;4;2190
Besny-et-Loizy;49.6;3.583333;2870
Bièvres;49.5;3.716667;2860
Bois-lès-Pargny;49.716667;3.65;2270
Boncourt;49.616667;3.95;2350
Bouconville-Vauclair;;;2860
Bouffignereux;49.366667;3.85;2160
Bourg-et-Comin;49.4;3.65;2160
Bourguignon-sous-Montbavin;;;2000
Brancourt-en-Laonnois;49.516667;3.416667;2320
Braye-en-Laonnois;49.433333;3.616667;2000
Brie;;;2870
Brunehamel;49.766667;4.183333;2360
Bruyères-et-Montbérault;49.516667;3.666667;2860
Bucy-lès-Cerny;49.583333;3.516667;2870
Bucy-lès-Pierrepont;49.65;3.9;2350
Cerny-en-Laonnois;49.45;3.666667;2860
Cerny-lès-Bucy;49.583333;3.533333;2870
Cessières;49.566667;3.483333;2320
Chaillevois;49.516667;3.516667;2000
Chalandry;49.683333;3.633333;2270
Chambry;49.6;3.65;2000
Chamouille;49.466667;3.666667;2860
Chaourse;49.7;4;2340
Charmes;49.65;3.383333;2800
Chaudardes;49.383333;3.783333;2160
Chérêt;49.516667;3.683333;2860
Chermizy-Ailles;49.466667;3.733333;2860
Chéry-lès-Pouilly;49.65;3.6;2000
Chéry-lès-Rozoy;49.716667;4.083333;2360
Chevregny;49.466667;3.583333;2000
Chivres-en-Laonnois;49.633333;3.85;2350
Chivy-lès-Etouvelles;49.516667;3.583333;2000
Clacy-et-Thierret;49.55;3.566667;2000
Clermont-les-Fermes;49.666667;3.95;2340
Colligis-Crandelain;49.483333;3.65;2860
Concevreux;49.383333;3.783333;2160
Condé-sur-Suippe;49.416667;3.95;2190
Corbeny;49.466667;3.816667;2820
Coucy-lès-Eppes;49.55;3.766667;2840
Courbes;49.683333;3.45;2800
Courtrizy-et-Fussigny;49.516667;3.8;2820
Couvron-et-Aumencourt;49.65;3.516667;2270
Craonne;49.433333;3.783333;2160
Craonnelle;49.433333;3.766667;2160
Crécy-sur-Serre;49.7;3.616667;2270
Crépy;;;2870
Cuiry-lès-Chaudardes;49.383333;3.766667;2160
Cuiry-lès-Iviers;;;2360
Cuissy-et-Geny;49.416667;3.7;2160
Dagny-Lambercy;49.766667;4.033333;2140
Danizy;49.65;3.383333;2800
Dercy;49.7;3.683333;2270
Deuillet;49.633333;3.35;2700
Dizy-le-Gros;49.633333;4.016667;2340
Dohis;49.75;4.133333;2360
Dolignon;49.716667;4.083333;2360
Ebouleau;49.666667;3.866667;2350
Eppes;49.55;3.733333;2840
Etouvelles;49.533333;3.583333;2000
Evergnicourt;49.433333;4.033333;2190
Faucoucourt;49.533333;3.466667;2320
Festieux;49.516667;3.75;2840
Fourdrain;49.6;3.466667;2870
Fressancourt;49.616667;3.416667;2800
Gernicourt;49.4;3.866667;2160
Gizy;49.6;3.766667;2350
Goudelancourt-lès-Berrieux;;;2820
Goudelancourt-lès-Pierrepont;;;2350
Grandrieux;49.733333;4.183333;2360
Guignicourt;49.433333;3.966667;2190
Guyencourt;49.35;3.833333;2160
Jumigny;49.416667;3.716667;2160
Juvincourt-et-Damary;49.45;3.9;2190
La Fère;49.666667;3.366667;2800
La Malmaison;49.516667;3.983333;2190
Laniscourt;49.55;3.55;2000
Laon;49.566667;3.616667;2000
Lappion;49.616667;3.966667;2150
La Selve;49.566667;4;2150
Laval-en-Laonnois;49.5;3.6;2860
La Ville-aux-Bois-lès-Dizy;;;2340
La Ville-aux-Bois-lès-Pontavert;;;2160
Les Autels;49.766667;4.2257;2360
Le Thuel;;;2340
Lierval;49.483333;3.616667;2860
Liesse-Notre-Dame;;;2350
Lislet;49.683333;4.016667;2340
Lizy;49.516667;3.466667;2320
Lor;49.533333;4.05;2190
Mâchecourt;49.658333;3.841667;2350
Maizy;49.383333;3.733333;2160
Marchais;49.583333;3.816667;2350
Martigny-Courpierre;49.483333;3.683333;2860
Mauregny-en-Haye;49.533333;3.8;2820
Mayot;49.7;3.383333;2800
Menneville;49.416667;4;2190
Merlieux-et-Fouquerolles;49.516667;3.5;2000
Mesbrecourt-Richecourt;49.7;3.55;2270
Meurival;49.35;3.766667;2160
Missy-lès-Pierrepont;49.633333;3.8;2350
Molinchart;49.566667;3.533333;2000
Monampteuil;49.483333;3.566667;2000
Monceau-lès-Leups;49.666667;3.483333;2270
Mons-en-Laonnois;;;2000
Montaigu;49.533333;3.833333;2820
Montbavin;49.533333;3.516667;2000
Montchâlons;49.516667;3.733333;2860
Montcornet;;;2340
Monthenault;49.483333;3.666667;2860
Montigny-sur-Crécy;49.716667;3.583333;2270
Montloué;49.666667;4.066667;2340
Morgny-en-Thiérache;49.766667;4.066667;2360
Mortiers;49.683333;3.666667;2270
Moulins;49.416667;3.683333;2160
Moussy-Verneuil;49.416667;3.633333;2160
Muscourt;49.366667;3.75;2160
Neufchâtel-sur-Aisne;49.433333;4.033333;2190
Neuville-sur-Ailette;49.466667;3.7;2860
Nizy-le-Comte;49.566667;4.05;2150
Noircourt;49.666667;4.1;2340
Nouvion-et-Catillon;49.7;3.483333;2270
Nouvion-le-Comte;49.683333;3.466667;2800
Nouvion-le-Vineux;49.5;3.616667;2860
OEuilly;49.383333;3.683333;2160
Orainville;49.383333;4.016667;2190
Orgeval;49.516667;3.7;2860
Oulches-la-Vallée-Foulon;49.433333;3.75;2160
Paissy;49.416667;3.7;2160
Pancy-Courtecon;49.466667;3.65;2860
Parfondeval;49.733333;4.166667;2360
Parfondru;49.533333;3.716667;2840
Pargnan;49.4;3.7;2160
Pargny-les-Bois;49.716667;3.616667;2270
Pignicourt;49.416667;4.033333;2190
Pinon;49.483333;3.45;2320
Ployart-et-Vaurseine;;;2860
Pontavert;49.416667;3.816667;2160
Pouilly-sur-Serre;49.683333;3.583333;2270
Prémontré;49.55;3.4;2320
Presles-et-Thierny;49.516667;3.616667;2860
Prouvais;49.466667;3.983333;2190
Proviseux-et-Plesnoy;49.466667;4;2190
Raillimont;49.708333;4.15;2360
Remies;49.683333;3.533333;2270
Renneval;49.733333;4.05;2340
Résigny;49.733333;4.2;2360
Rogécourt;49.633333;3.416667;2800
Roucy;49.366667;3.816667;2160
Rouvroy-sur-Serre;49.716667;4.166667;2360
Royaucourt-et-Chailvet;49.516667;3.533333;2000
Rozoy-sur-Serre;49.716667;4.133333;2360
Sainte-Croix;49.483333;3.783333;2820
Sainte-Geneviève;;;2340
Sainte-Preuve;49.616667;3.916667;2350
Saint-Erme-Outre-et-Ramecourt;49.516667;3.85;2820
Saint-Gobain;49.6;3.383333;2410
Saint-Nicolas-aux-Bois;49.6;3.416667;2410
Saint-Thomas;49.5;3.816667;2820
Samoussy;49.583333;3.733333;2840
Servais;49.616667;3.35;2700
Sissonne;49.566667;3.9;2150
Soize;49.7;4.083333;2340
Suzy;49.55;3.466667;2320
Travecy;49.683333;3.35;2800
Trucy;49.466667;3.616667;2860
Urcel;49.5;3.55;2000
Variscourt;49.416667;3.983333;2190
Vassogne;49.416667;3.733333;2160
Vaucelles-et-Beffecourt;49.533333;3.55;2000
Vauxaillon;49.483333;3.4;2320
Vendresse-Beaulne;49.433333;3.666667;2160
Verneuil-sur-Serre;49.65;3.666667;2000
Versigny;49.65;3.433333;2800
Veslud;49.533333;3.733333;2840
Vigneux-Hocquet;49.733333;3.983333;2340
Vincy-Reuil-et-Magny;49.716667;4.05;2340
Vivaise;49.616667;3.566667;2870
Vorges;49.516667;3.65;2860
Wissignicourt;49.533333;3.433333;2320
Afa;41.983333;8.8;20167
Ajaccio;41.916667;8.733333;20000
Alata;41.95;8.75;20167
Ambiegna;42.083333;8.783333;20151
Appietto;42;8.766667;20167
Arbori;42.133333;8.8;20160
Arro;42.083333;8.816667;20151
Azzana;42.116667;8.916667;20121
Balogna;42.166667;8.783333;20160
Bastelicaccia;;;20129
Bocognano;42.083333;9.066667;20136
Calcatoggio;42.016667;8.766667;20111
Cannelle;42.05;8.833333;20151
Carbuccia;42.033333;8.95;20133
Cargèse;42.133333;8.583333;20130
Casaglione;42.066667;8.783333;20111
Coggia;42.116667;8.75;20160
Cristinacce;42.233333;8.833333;20126
Cuttoli-Corticchiato;;;20167
Evisa;42.25;8.8;20126
Guagno;42.166667;8.933333;20160
Letia;42.183333;8.833333;20160
Lopigna;42.1;8.833333;20139
Marignana;42.216667;8.8;20141
Murzo;42.166667;8.833333;20160
Orto;42.183333;8.933333;20125
Osani;42.316667;8.633333;20147
Ota;42.266667;8.75;20150
Partinello;42.3;8.683333;20147
Pastricciola;;;20121
Peri;42;8.916667;20167
Piana;42.5;9.116667;20115
Poggiolo;42.166667;8.916667;20125
Renno;42.216667;8.833333;20160
Rezza;42.116667;8.95;20121
Rosazia;42.116667;8.866667;20121
Salice;42.116667;8.9;20121
Sant'Andréa-d'Orcino;42.033333;8.8;20151
Sari-d'Orcino;42.05;8.816667;20151
Sarrola-Carcopino;42.016667;8.85;20167
Serriera;42.3;8.716667;20147
Soccia;42.2;8.9;20125
Tavaco;42.033333;8.9;20167
Tavera;42.066667;9.016667;20163
Ucciani;42.033333;8.983333;20133
Valle-di-Mezzana;42.016667;8.816667;20167
Vero;42.05;8.916667;20172
Vico;42.166667;8.8;20160
Villanova;41.95;8.666667;20167
Barbaggio;;;20253
Barrettali;;;20228
Bastia;42.7;9.45;20200
Biguglia;42.616667;9.416667;20620
Borgo;42.4;9.283333;20290
Brando;42.766667;9.45;20222
Cagnano;;;20228
Canari;42.85;9.35;20217
Centuri;42.95;9.35;20238
Ersa;;;20275
Farinole;;;20253
Furiani;42.65;9.416667;20600
Lama;42.566667;9.166667;20218
Lucciana;42.533333;9.416667;20290
Luri;;;20228
Meria;42.933333;9.433333;20287
Morsiglia;;;20238
Murato;;;20239
Nonza;42.783333;9.333333;20217
Ogliastro;42.816667;9.333333;20217
Olcani;;;20217
Oletta;42.633333;9.35;20232
Olmeta-di-Capocorso;;;20217
Olmeta-di-Tuda;42.6;9.35;20273
Patrimonio;;;20253
Pietracorbara;;;20233
Pietralba;42.533333;9.183333;20218
Piève;42.566667;9.283333;20258
Pino;42.9;9.35;20228
Poggio-d'Oletta;42.633333;9.35;20232
Rapale;42.583333;9.3;20258
Rogliano;;;20247
Rutali;42.583333;9.35;20239
Saint-Florent;42.683333;9.3;20217
San-Gavino-di-Tenda;42.583333;9.266667;20246
San-Martino-di-Lota;42.716667;9.416667;20200
Santa-Maria-di-Lota;42.75;9.433333;20200
